freq earlylow earlyhighmidlow midhighlatelow latehigh design BNSoptimised
1.000000e+01 5.002214e-20 5.129177e-21 3.198883e-21 3.198234e-21 1.486345e-21 1.100620e-21 1.107580e-21
1.002306e+01 4.956347e-20 5.082176e-21 3.169501e-21 3.168852e-21 1.472545e-21 1.090307e-21 1.097288e-21
1.004617e+01 4.910901e-20 5.035608e-21 3.140391e-21 3.139742e-21 1.458876e-21 1.080095e-21 1.087072e-21
1.006934e+01 4.865871e-20 4.989469e-21 3.111550e-21 3.110901e-21 1.445337e-21 1.069983e-21 1.076923e-21
1.009256e+01 4.821254e-20 4.943754e-21 3.082976e-21 3.082327e-21 1.431927e-21 1.059970e-21 1.066947e-21
1.011583e+01 4.777047e-20 4.898459e-21 3.054666e-21 3.054016e-21 1.418644e-21 1.050054e-21 1.056996e-21
1.013916e+01 4.733245e-20 4.853581e-21 3.026617e-21 3.025968e-21 1.405487e-21 1.040235e-21 1.047206e-21
1.016254e+01 4.689845e-20 4.809116e-21 2.998827e-21 2.998179e-21 1.392455e-21 1.030512e-21 1.037453e-21
1.018598e+01 4.646842e-20 4.765060e-21 2.971294e-21 2.970646e-21 1.379546e-21 1.020883e-21 1.027850e-21
1.020946e+01 4.604234e-20 4.721409e-21 2.944016e-21 2.943367e-21 1.366760e-21 1.011348e-21 1.018314e-21
1.023301e+01 4.562018e-20 4.678159e-21 2.916989e-21 2.916341e-21 1.354095e-21 1.001905e-21 1.008857e-21
1.025661e+01 4.520188e-20 4.635308e-21 2.890212e-21 2.889564e-21 1.341550e-21 9.925542e-22 9.995057e-22
1.028026e+01 4.478741e-20 4.592850e-21 2.863682e-21 2.863034e-21 1.329123e-21 9.832936e-22 9.902625e-22
1.030396e+01 4.437675e-20 4.550782e-21 2.837397e-21 2.836750e-21 1.316813e-21 9.741226e-22 9.810880e-22
1.032772e+01 4.396986e-20 4.509102e-21 2.811355e-21 2.810708e-21 1.304620e-21 9.650403e-22 9.719806e-22
1.035154e+01 4.356669e-20 4.467804e-21 2.785553e-21 2.784906e-21 1.292542e-21 9.560457e-22 9.629788e-22
1.037541e+01 4.316723e-20 4.426886e-21 2.759989e-21 2.759342e-21 1.280578e-21 9.471378e-22 9.540806e-22
1.039934e+01 4.277143e-20 4.386345e-21 2.734662e-21 2.734015e-21 1.268727e-21 9.383159e-22 9.452486e-22
1.042332e+01 4.237926e-20 4.346176e-21 2.709567e-21 2.708920e-21 1.256987e-21 9.295789e-22 9.365166e-22
1.044735e+01 4.199068e-20 4.306376e-21 2.684705e-21 2.684058e-21 1.245359e-21 9.209260e-22 9.278852e-22
1.047145e+01 4.160567e-20 4.266942e-21 2.660071e-21 2.659425e-21 1.233839e-21 9.123563e-22 9.192819e-22
1.049559e+01 4.122419e-20 4.227871e-21 2.635665e-21 2.635019e-21 1.222428e-21 9.038689e-22 9.108111e-22
1.051980e+01 4.084621e-20 4.189159e-21 2.611484e-21 2.610838e-21 1.211124e-21 8.954631e-22 9.024034e-22
1.054406e+01 4.047169e-20 4.150802e-21 2.587526e-21 2.586880e-21 1.199927e-21 8.871379e-22 8.940905e-22
1.056837e+01 4.010061e-20 4.112798e-21 2.563789e-21 2.563143e-21 1.188835e-21 8.788925e-22 8.858382e-22
1.059274e+01 3.973293e-20 4.075143e-21 2.540270e-21 2.539625e-21 1.177847e-21 8.707261e-22 8.776465e-22
1.061717e+01 3.936863e-20 4.037835e-21 2.516969e-21 2.516324e-21 1.166962e-21 8.626379e-22 8.695806e-22
1.064165e+01 3.900767e-20 4.000869e-21 2.493882e-21 2.493237e-21 1.156180e-21 8.546271e-22 8.615741e-22
1.066619e+01 3.865001e-20 3.964243e-21 2.471008e-21 2.470363e-21 1.145499e-21 8.466930e-22 8.536249e-22
1.069079e+01 3.829564e-20 3.927953e-21 2.448345e-21 2.447701e-21 1.134918e-21 8.388346e-22 8.457662e-22
1.071544e+01 3.794452e-20 3.891997e-21 2.425891e-21 2.425247e-21 1.124436e-21 8.310513e-22 8.379636e-22
1.074015e+01 3.759661e-20 3.856371e-21 2.403644e-21 2.403000e-21 1.114053e-21 8.233424e-22 8.302507e-22
1.076492e+01 3.725190e-20 3.821073e-21 2.381602e-21 2.380958e-21 1.103766e-21 8.157069e-22 8.226228e-22
1.078974e+01 3.691035e-20 3.786099e-21 2.359763e-21 2.359119e-21 1.093577e-21 8.081443e-22 8.150517e-22
1.081462e+01 3.657193e-20 3.751446e-21 2.338125e-21 2.337481e-21 1.083483e-21 8.006537e-22 8.075655e-22
1.083956e+01 3.623662e-20 3.717111e-21 2.316686e-21 2.316042e-21 1.073483e-21 7.932345e-22 8.001619e-22
1.086456e+01 3.590438e-20 3.683092e-21 2.295445e-21 2.294802e-21 1.063577e-21 7.858860e-22 7.928127e-22
1.088961e+01 3.557519e-20 3.649386e-21 2.274400e-21 2.273757e-21 1.053763e-21 7.786073e-22 7.855161e-22
1.091472e+01 3.524901e-20 3.615989e-21 2.253548e-21 2.252905e-21 1.044042e-21 7.713980e-22 7.783018e-22
1.093989e+01 3.492583e-20 3.582899e-21 2.232889e-21 2.232246e-21 1.034411e-21 7.642571e-22 7.711676e-22
1.096512e+01 3.460562e-20 3.550113e-21 2.212420e-21 2.211777e-21 1.024871e-21 7.571842e-22 7.640848e-22
1.099040e+01 3.428833e-20 3.517629e-21 2.192139e-21 2.191497e-21 1.015420e-21 7.501784e-22 7.570809e-22
1.101575e+01 3.397396e-20 3.485442e-21 2.172045e-21 2.171403e-21 1.006057e-21 7.432391e-22 7.501281e-22
1.104115e+01 3.366248e-20 3.453551e-21 2.152136e-21 2.151494e-21 9.967813e-22 7.363657e-22 7.432783e-22
1.106661e+01 3.335384e-20 3.421953e-21 2.132411e-21 2.131769e-21 9.875926e-22 7.295575e-22 7.364518e-22
1.109213e+01 3.304804e-20 3.390646e-21 2.112867e-21 2.112226e-21 9.784897e-22 7.228139e-22 7.297009e-22
1.111771e+01 3.274505e-20 3.359626e-21 2.093503e-21 2.092862e-21 9.694719e-22 7.161343e-22 7.230244e-22
1.114335e+01 3.244483e-20 3.328891e-21 2.074317e-21 2.073677e-21 9.605383e-22 7.095179e-22 7.163961e-22
1.116904e+01 3.214737e-20 3.298438e-21 2.055309e-21 2.054668e-21 9.516881e-22 7.029643e-22 7.098410e-22
1.119480e+01 3.185263e-20 3.268265e-21 2.036475e-21 2.035834e-21 9.429205e-22 6.964727e-22 7.033590e-22
